text,label_text,label
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative,0
The passenger tunnel is expected to be put into operation in 2009 .,neutral,1
The new organization consists of two business units : Charging & Messaging and Finance & Administration .,neutral,1
"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn .",neutral,1
"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral,1
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",neutral,1
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",neutral,1
About Dopplr Dopplr is a service for smart travellers .,neutral,1
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral,1
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",negative,0
Odell has not contacted the State of Finland in this issue .,neutral,1
"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",positive,2
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",neutral,1
EPS grew to 0.04 eur from 0.02 eur .,positive,2
The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin .,neutral,1
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative,0
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .,positive,2
The new name of the Sanoma Division will be Sanoma News .,neutral,1
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) .,neutral,1
Net sales fell by 5 % from the previous accounting period .,negative,0
The first stage of the contract covers 133 stores and 600 cash registers .,neutral,1
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,1
Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .,neutral,1
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,2
"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral,1
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,2
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,positive,2
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral,1
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,positive,2
8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,positive,2
Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,neutral,1
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,positive,2
"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",neutral,1
"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral,1
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,2
`` It wo n't happen overnight .,neutral,1
"s business sectors are building construction , infrastructure construction and technical building services .",neutral,1
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",positive,2
"Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously .",positive,2
Name of Company in which holdings have been acquired : Citycon Oyj 2 .,neutral,1
"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",neutral,1
It has80 branches in Finland with annual revenue in Finland of ?,neutral,1
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,neutral,1
"The devices would be launched in the Chinese market in late 2006 , the company said .",neutral,1
The expanded plant is scheduled to be operational by the middle of October 2009 .,neutral,1
BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,neutral,1
Earnings per share EPS amounted to EUR0 .01 .,neutral,1
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,negative,0
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",neutral,1
- Profit before taxes was EUR 105.9 82.7 million .,neutral,1
Castecka said the town hall would hold talks with other investors interested in the zone .,neutral,1
`` Demand for sports equipment was good in 2005 .,positive,2
"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .",negative,0
"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",neutral,1
`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral,1
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive,2
"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral,1
"128,538 shares can still be subscribed for with Series E share options , max .",neutral,1
VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral,1
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,neutral,1
The solution will be installed in the USA to support the North American operations of the customer .,neutral,1
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,neutral,1
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral,1
The value of the deal was not disclosed .,neutral,1
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive,2
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive,2
RSA 's shares closed at 156.9 p at the time of going to press .,neutral,1
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",neutral,1
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",negative,0
Sales of security and system packaging increased slightly .,positive,2
"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",neutral,1
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,neutral,1
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,0
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral,1
"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",positive,2
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",neutral,1
The order also includes start-up and commissioning services .,neutral,1
"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral,1
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive,2
The MET is located in the Central Business District ( CBD ) of Bangkok .,neutral,1
The increase range will vary up to 10 % .,neutral,1
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",neutral,1
"`` We 're delighted with the move '' says Morna Cowie , co-owner , above , `` it 's double the size of our current shop and has a lovely feel to it . ''",positive,2
"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks .",neutral,1
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative,0
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative,0
The transaction value is CAD 15 million approximately EUR 10 million .,neutral,1
Yvonne Jones is owner of Chameleon Interiors .,neutral,1
"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",negative,0
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,2
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative,0
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",positive,2
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,neutral,1
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,0
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",neutral,1
"By the end of 2006 , the number of joint branch offices will total 170 .",neutral,1
"Its annual capacity is some 10,000 MW .",neutral,1
"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",neutral,1
"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71 .",neutral,1
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral,1
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative,0
It will also strengthen Ruukki 's offshore business .,positive,2
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,2
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",neutral,1
"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed",neutral,1
It will report full-year results on August 22 .,neutral,1
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",positive,2
"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 .",neutral,1
"says Brian Burton , Head of IT Security , Vodafone UK .",neutral,1
The value of the order is USD 2.3 mn .,neutral,1
The contract has been allotted as per lowest price criteria .,neutral,1
The combined value of the orders is EUR 45mn .,neutral,1
"The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",neutral,1
Financial terms were not disclosed .,neutral,1
`` This could be us .,neutral,1
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",neutral,1
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,neutral,1
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",negative,0
